No.,Title,Author(s),Language,Game type,Duration,Min. number of players,Max. number of players,Entry threshold,Prerequisites,Link,Hashtags
176,El asesinato del Sr. Monroe,Jokin García,ES,freeform,---,11,11,2,1,http://roleoenvivo.blogspot.com/2009/11/el-asesinato-del-sr-monroe.html,"#criminal
#horror"
177,Una boda de cuento,Beliagal,ES,freeform,---,15,15,2,1,http://roleoenvivo.blogspot.com/2009/10/una-boda-de-cuento.html,"#10plus
#fantasy"
178,Eroberung,Silvia Rodríguez,ES,chamber larp,---,25,30,2,3,http://roleoenvivo.blogspot.com/2009/10/eroberung.html,"#10plus
#SF"
179,Terror bajo la pirámide,Mike Young,ES,freeform,<2h,6,6,2,1,http://roleoenvivo.blogspot.com/2009/09/terror-bajo-la-piramide.html,"#horror
#majan"
180,Saw,Beliagal,ES,freeform,<2h,4,4,1,1,http://roleoenvivo.blogspot.com/2009/09/saw.html,"#saw
#horror"
181,Intrigas Palaciegas Lite,Pedro J. Ramos,ES,chamber larp,---,8,9,1,1,http://roleoenvivo.blogspot.com/2009/08/intrigas-palaciegas-lite.html,
182,Intrigas Palaciegas ,Pedro J. Ramos,ES,chamber larp,---,12,12,1,1,http://roleoenvivo.blogspot.com/2009/08/intrigas-palaciegas.html,#10plus
183,Telaraña de Patrañas,"Pedro J. Ramos
Jokin García",ES,chamber larp,---,26,26,1,1,http://roleoenvivo.blogspot.com/2009/08/telarana-de-patranas.html,"#comedy
#10plus"
184,El Vivo de Rudesindus,Pedro J. Ramos,ES,chamber larp,---,9,10,2,1,http://roleoenvivo.blogspot.com/2009/07/el-vivo-de-rudesindus.html,
185,BuffyRPG: Requiescant in Pace,Rosendo Chas,ES,chamber larp,---,13,13,2,1,http://roleoenvivo.blogspot.com/2012/02/27-de-febrero-de-2012_27.html,#10plus
186,La tormenta imperfecta,Rosendo Chas,ES,freeform,---,18,18,2,1,http://roleoenvivo.blogspot.com/2012/02/27-de-febrero-de-2012.html,#10plus
187,El Carnaval de las Hadas,Los Navegantes de las Brumas,ES,chamber larp,---,12,12,1,1,http://roleoenvivo.blogspot.com/2011/11/el-carnaval-de-las-hadas.html,#10plus
188,Vampiro: La Muerte del Arzobispo,"Jotermeister
Shalazar",ES,chamber larp,---,20,20,1,1,http://roleoenvivo.blogspot.com/2011/10/vampiro-la-muerte-del-arzobispo.html,"#vampire
#WOD
#10plus"
189,No hay vacas al otro lado del Mississippi,Majo Productions,ES,chamber larp,---,20,20,1,1,http://roleoenvivo.blogspot.com/2011/08/no-hay-vacas-al-otro-lado-del.html,"#western
#10plus
"
190,El Manicomio,Majo Productions,ES,chamber larp,---,15,15,1,1,http://roleoenvivo.blogspot.com/2011/08/el-manicomio.html,#10plus
191,Active Shooter,Tim Hutchings,EN,nano-larp,<2h,4,8,2,1,http://www.goldencobra.org/pdf/golden_cobra_anthology_2014.pdf,#realtionship
192,The Adventurers,Jesper Stein Sandal,EN,nano-larp,<2h,2,8,2,1,http://www.goldencobra.org/pdf/golden_cobra_anthology_2014.pdf,"#comedy
#fantasy"
193,The Aftermath,William Nichols,EN,freeform,<2h,4,12,2,1,http://www.goldencobra.org/pdf/golden_cobra_anthology_2014.pdf,"#10plus
#realtionship"
194,Artist: Unrecognized,Mads Brynnum,EN,nano-larp,<2h,3,6,2,2,http://www.goldencobra.org/pdf/golden_cobra_anthology_2014.pdf,#comedy
195,The Bear,James Ryan,EN,nano-larp,<2h,3,12,2,1,http://www.goldencobra.org/pdf/golden_cobra_anthology_2014.pdf,"#10plus
#SF
#timetravel"
196,The Boy Who Cried Werewolf,Willow Palecek,EN,nano-larp,<2h,3,12,2,1,http://www.goldencobra.org/pdf/golden_cobra_anthology_2014.pdf,"#realtionship
#comedy
#fantasy
#horror
#politics"
197,Café Incognito,Mo Holkar,EN,nano-larp,<2h,3,8,2,1,http://www.goldencobra.org/pdf/golden_cobra_anthology_2014.pdf,#comedy
198,Chimerical Defense Force,Eva Schiffer,EN,nano-larp,<2h,3,6,2,1,http://www.goldencobra.org/pdf/golden_cobra_anthology_2014.pdf,"#10plus
#comedy
#fantasy
#mythological"
199,Conse|cution,Jonas Richter,EN,freeform,<2h,99,99,2,2,http://www.goldencobra.org/pdf/golden_cobra_anthology_2014.pdf,"#comedy
#spy"
